PIVA_DISTRIBUTORE,COD_PDR,CAUSALE,NOME_FILE_INCOERENTE_EXC,NOME_FILE_LETTURA_CORRISPONDENTE,NOME_FILE_LETTURA_PRECEDENTE,STATO
03479071205,07710000013860,,,03479071205_01141160992_202206_TML_20220629075006_1_M.xml,03479071205_01141160992_202203_TML_20220329075458_1_M.xml,ONLY_REPORT_1
03479071205,03081000953852,,,03479071205_02221101203_202311_TML_20231204160940_1_M.xml,03479071205_02221101203_202310_TML_20231107173421_1_M.xml,ONLY_REPORT_1
03479071205,07710000014328,,,03479071205_01178580997_202009_TML.0050_20201008124442_001.xml,03479071205_01178580997_202003_TML.0050_20200408160703_001.xml,ONLY_REPORT_1
03479071205,07710000013585,T1,03479071205_06655971007_AGG_INCOERENTI_EXC_202111_20240111092651_1.csv,,,ONLY_EXC
03479071205,03081001478106,,,03479071205_06170180019_202208_TML_20220826084758_1_M.xml,03479071205_06170180019_202205_TML_20220509121021_1_M.xml,ONLY_REPORT_1
03479071205,03081000427800,,,03479071205_02221101203_202305_TAL_20230531100030_1_M.xml,03479071205_02221101203_202305_TML_20230605104354_1_M.xml,ONLY_REPORT_1
03479071205,07710000013612,,,03479071205_02221101203_202311_TAL_20231121100018_1_M.xml,03479071205_02221101203_202310_TML_20231107174701_1_M.xml,ONLY_REPORT_1
03479071205,07710000014256,,,03479071205_02221101203_202309_TML_20231003100014_1_M.xml,03479071205_02221101203_202307_TML_20230807151455_1_M.xml,ONLY_REPORT_1
03479071205,07710000014240,T1,03479071205_01178580997_AGG_INCOERENTI_EXC_202005_20240111092651_1.csv,,,ONLY_EXC
03479071205,03081000427928,T1,03479071205_06655971007_AGG_INCOERENTI_EXC_202106_20240111092651_1.csv,,,ONLY_EXC
03479071205,03081001478097,,,03479071205_02221101203_202303_TAL_20230307100028_1_M.xml,03479071205_02221101203_202303_TML_20230308132352_1_M.xml,ONLY_REPORT_1
03479071205,03081000953743,,,03479071205_02221101203_202309_TML_20231003103234_1_M.xml,03479071205_02221101203_202309_TAL_20230928100035_1_M.xml,ONLY_REPORT_1
03479071205,03081001478139,,,03479071205_02221101203_202307_TML_20230804123948_1_M.xml,03479071205_02221101203_202306_TML_20230707134243_1_M.xml,ONLY_REPORT_1
03479071205,03081000429545,,,03479071205_02221101203_202310_TML_20231108135459_1_M.xml,03479071205_02221101203_202309_TAL_20230927100031_1_M.xml,ONLY_REPORT_1
03479071205,03081001476746,,,03479071205_02221101203_202302_TAL_20230221100029_1_M.xml,03479071205_02221101203_202302_TML_20230208144050_1_M.xml,ONLY_REPORT_1
03479071205,03081000952304,,,03479071205_02221101203_202305_TML_20230609081547_1_M.xml,03479071205_02221101203_202303_TAL_20230401180020_1_M.xml,ONLY_REPORT_1
03479071205,03081000951930,,,03479071205_02221101203_202303_TML_20230308143950_1_M.xml,03479071205_02221101203_202302_TAL_20230204113344_1_M.xml,ONLY_REPORT_1
